StudentID,PreviousGPA,AssignmentsCompleted,Attendance,SleepHours,Age,StudyHours,InternetHours,Scholarship_No,Scholarship_Sí,Program_Administración,Program_Contador Auditor,Program_Ingeniería Civil,Program_Ingeniería Industrial,Program_Ingeniería Informática,FinalGrade
STU-10522,0.5257544904795405,-1.1541732936578661,-0.09682941942044666,-0.6017367531965275,-0.2,-0.20589390962671916,-0.3246977547495683,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.96
STU-10947,1.4563249016573316,-0.593759635635206,1.4649602195497138,-0.3971243847530813,8.4,-0.337917485265226,0.5135290731145653,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09
STU-11352,0.49797626925035327,0.7742244731790826,0.7810006738129398,-0.24980347947379952,0.6,0.2231827111984283,0.1312607944732298,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.37
STU-12298,-0.8631565709798494,0.41282951165934123,-0.2936523102799503,-0.6917661953116434,0.8,1.376817288801572,0.0023028209556706478,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.02
STU-13527,-1.2103843363446969,-1.5098204227876315,-1.4312886194478818,-0.5771832689833137,-0.6,-0.9021611001964639,-0.3914795624640185,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.24
STU-11440,1.3591011273551752,0.6183145196009834,1.3985107533152335e-15,-1.051883963772109,-0.4,0.2829076620825149,-0.14968336211859518,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.65
STU-11553,1.7896635564075856,1.0623345717266302,1.229756864972607,0.8469188153830713,-0.2,2.137524557956778,-0.6563039723661486,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.63
STU-13546,1.0952080256778904,-0.009636169003894772,-2.1250893097276324,0.20852822583951966,0.4,0.4306483300589392,0.7576280944156593,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.97
STU-14415,-1.2659407788030725,0.42001430214681185,0.3430697416505439,0.012100352133811124,10.4,-0.6161100196463655,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.17
STU-11738,-0.3631485888544686,-2.483359533839818,-0.854597549229536,1.0515311838265176,0.4,-1.2777996070726916,1.4185377086931497,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.83
STU-11735,-0.7520436860630981,-0.20506247026307883,0.42081478354004703,1.1742986048925854,-1.0,-0.44793713163064836,-0.5043177892918826,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.32
STU-10686,0.44241982679197767,-1.948092642523302,-1.123260795252759,2.6556921524231365,0.6,-1.137917485265226,0.47207829591249284,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.11
